,ZnSO4,Na2SO4,StaticContactAngle,STD
0,0.0,0.0,,
1,1.0,0.0,,
2,1.1,0.0,,
3,1.2,0.0,,
4,1.3,0.0,,
5,1.4,0.0,,
6,1.5,0.0,,
7,1.6,0.0,,
8,1.7,0.0,,
9,1.8,0.0,,
10,1.9,0.0,,
11,2.0,0.0,,
12,2.1,0.0,,
13,2.2,0.0,,
14,2.3,0.0,,
15,2.4,0.0,,
16,2.5,0.0,,
17,2.6,0.0,,
18,2.7,0.0,,
19,2.8,0.0,,
20,2.9,0.0,,
21,3.0,0.0,,
22,0.0,0.0,,
23,0.0,0.05,,
24,0.0,0.1,,
25,0.0,0.15,,
26,0.0,0.2,,
27,0.0,0.25,,
28,0.0,0.3,,
29,0.0,0.35,,
30,0.0,0.4,,
31,0.0,0.45,,
32,0.0,0.5,,
33,0.0,0.55,,
34,0.0,0.6,,
35,0.0,0.65,,
36,0.0,0.7,,
37,0.0,0.75,,
38,0.0,0.8,,
39,0.0,0.85,,
40,0.0,0.9,,
41,0.0,0.95,,
42,0.0,1.0,,
